-0.451243,-0.208434,-0.931437,0.641811,-0.179981,-0.477017,-0.100264,-0.63585,-0.27238,0.62842,-0.681425,-0.29505,-0.772444,-0.602223,-0.445073,0.528481,-0.738324,-1.24244,0.614609,-1.65007,-0.0715953,0.597924,-2.17931,-0.68297
-0.488028,-0.476634,-0.16154,-0.366202,-1.05723,-0.124479,0.146527,-0.665481,-1.39075,0.50645,-0.777848,-1.06685,0.613613,-0.274632,-1.13347,-0.274828,-0.712198,-0.227703,-0.200716,-0.433612,-0.0449917,-0.172786,-1.01195,-0.86113
-0.409649,-1.86358,-0.289222,-0.00721558,-2.15908,-1.00311,0.314568,-2.14037,-1.28207,-0.667662,-0.231085,-0.807055,0.09581,-0.607896,-0.740567,0.114777,-1.70883,-1.0559,-0.308063,-1.40007,-0.515981,0.606641,-1.34818,-0.93546
-0.195298,-1.42389,-0.464261,-0.391908,-1.7883,-0.967435,-0.581971,-1.4487,-1.41402,0.643605,-0.518636,-0.499582,-0.374198,-0.742037,-0.166399,-0.785,-0.0357556,-0.209918,-0.23763,0,-0.470406,-0.733947,-1.68611,-0.904806
-0.305895,-2.02801,-1.16009,0.166763,-1.87093,-1.22035,0.15319,-0.0217822,-1.28592,0.529991,-2.19611,-0.773544,0.136612,-0.255476,-0.767757,-0.292192,-1.52158,-1.01199,0.146753,-1.01409,-1.32689,0.174927,-0.262504,-0.722022
0.101164,-2.01058,-0.373087,-0.622725,-1.46785,-0.0741323,-0.7557,-1.98271,-1.37133,0.715182,-1.55813,-1.34392,0.781314,-1.98796,-0.393981,-0.723257,-1.8031,-0.644843,0.118018,-2.32592,-1.01185,-0.471495,-0.976307,-0.0603469
0.719955,-2.34574,-1.18466,-0.115393,-0.409959,-0.779193,-0.182194,-1.15612,-0.166947,0.294161,-0.510013,-1.31415,-0.284427,-1.61319,-0.416891,0.292743,-0.465124,-0.53483,-0.112362,-0.749126,-0.887999,-0.413592,-0.167323,-0.959921
0.070263,-1.38752,-1.14351,0.68314,0,-0.839877,-0.771286,-0.512857,-0.804783,-0.347388,-0.536736,-0.685553,-0.303186,-1.65627,-0.305055,-0.613281,-0.738963,-0.143872,0.371696,-0.733879,-1.35778,-0.371679,-2.32394,-0.628217
0.785,-1.65738,-1.30342,-0.346196,-2.01937,-0.599371,0.259103,-1.27892,-0.103478,0.468,-1.62995,-0.311734,-0.731424,-1.07085,-0.479312,0.684315,-0.0123137,-1.07433,0.348275,-1.79443,-1.50434,-0.515882,-2.15372,-0.0650595
-0.590862,-1.1427,-1.3661,0.421738,-0.428642,-0.860707,0.681688,-2.32212,-1.31207,0.785,-0.766735,-0.408146,0.523393,-2.00349,-1.41492,0.49844,-1.96102,-0.0610516,0.136516,-0.624241,-1.42552,0.231873,-1.40597,-0.26775
-0.197844,-1.99419,-0.0285796,-0.552219,-0.732372,-1.24734,0.226974,-0.94034,-0.001587,-0.263594,-0.18564,-0.188439,0.535392,-1.22943,-1.51219,-0.66051,-0.166748,-0.4416,0.0667955,-0.96615,-1.48301,0.753815,-0.889006,-0.301803
-0.0584276,-0.597416,-0.373795,-0.488897,-0.802214,-1.32946,0.618802,-0.778664,-0.467515,-0.0463866,-0.435581,-0.399057,0.77379,-0.0624897,-1.46312,-0.0758395,-0.751072,-1.16717,0.331098,-2.25425,-1.57,-0.193499,-2.24176,-0.578155
0.090479,-1.35377,-0.144554,-0.773189,-1.71896,-0.816232,0.557313,-1.5977,-0.773686,0.404497,-0.589192,-0.602187,-0.189302,-1.94163,-1.18526,-0.182382,-1.69179,-1.35098,-0.0318795,-1.36958,-1.17502,0.398438,-0.674427,-0.540105
0.512953,-1.62717,-1.15558,0.108027,-1.58477,-0.628002,0.00426862,-1.05287,-1.37354,-0.410285,-1.31877,-0.553084,-0.098335,-1.24078,-1.49694,0.150666,-1.90907,-1.28449,0.276767,-0.233974,-1.5568,0.0861236,-2.18188,-0.575309
0.3313,-1.00075,-1.4053,0.648964,-2.24851,-0.415599,-0.353247,-2.13172,-0.839179,0.624218,-0.343231,-1.33799,0.100533,-0.995834,-0.278975,-0.346071,-0.130593,-1.53576,-0.586417,-1.49832,-0.181327,0.349039,-1.9608,-1.03274
0.444043,0,-1.02903,0.547114,-1.579,-0.313418,-0.0950856,-1.87403,-0.428465,-0.373691,-0.467788,-0.212742,0.678832,-0.862074,-0.907259,-0.398236,-1.87217,-0.822508,-0.667743,-2.356,-1.01666,-0.326335,-0.142709,-0.174144
-0.0909546,-1.03284,-0.998545,-0.131192,-1.77187,-1.09912,0.397074,-0.340732,-0.302672,0.657061,-0.982859,-0.797123,-0.757829,-0.907527,-0.774694,0.133563,-2.14174,-1.42912,-0.358012,-0.528048,-0.335537,0.171703,-1.31951,-1.3503
-0.708193,-2.07385,-0.139202,-0.767653,-2.03842,-0.0230874,-0.273906,-0.33048,-0.326615,-0.51822,-1.28531,-0.838946,-0.20411,-2.01843,-1.30624,-0.0138787,-2.08982,-1.10931,-0.563271,-1.22151,-1.18123,0.134496,-1.20575,-0.587391
-0.549532,-0.111001,-0.867074,-0.481986,-0.814984,-0.428566,-0.630966,-0.774796,-0.80085,0.402527,-1.82767,-0.622797,-0.25985,-0.0366308,-0.744461,-0.506014,-1.71038,-1.23795,-0.657753,-1.20651,-0.392849,0.597184,-1.77967,-0.150211
-0.668852,-1.27247,-0.693063,-0.783501,-1.02006,-0.0127335,0.660741,-2.18579,-1.37293,0.342595,-0.976061,-0.461484,0.316547,-0.338741,-0.862196,0.140518,-0.224092,-1.32943,0.512833,-0.726054,-1.2771,-0.47745,-1.06897,-0.49681
0.753288,-1.9058,-0.0667589,0.68474,-1.82165,-1.25577,0.578445,-2.21991,-0.753488,-0.0182465,-1.95035,-0.425423,-0.339304,-2.3255,-0.853015,-0.30277,-2.20909,-0.76631,-0.730575,-2.03179,-0.375274,-0.0628405,-1.44777,-0.483631
-0.553001,-0.172548,0,-0.785,-1.76516,-0.781245,-0.0651152,-1.22715,-1.10785,0.534352,-0.0663396,-0.814956,-0.394148,-0.791872,-0.804846,-0.495022,-1.97862,-1.55087,0.752364,-0.551462,-0.836108,0.285185,-2.07038,-0.979352
0.144589,-0.250934,-0.846544,0.106962,-0.215557,-1.35303,0.460988,-0.240222,-0.822591,-0.552103,-0.40306,-1.05984,-0.53034,-1.47234,-0.744095,-0.449755,-0.529503,-0.11434,-0.0027528,-1.88189,-0.212492,-0.579724,-0.701086,-0.2398
